,cd_indicador,nm_indicador,dc_formula_indicador,dc_conceito_indicador,dc_interpretacao_indicador,dc_nota_tecnica,in_visibilidade,cd_tipo_situacao,dt_atualizacao,cd_operador,cd_tipo_unidade_medida,cd_fonte,nm_completo_indicador,dc_periodicidade_indicador,dc_unidade_territorial,dc_serie_historica,dc_tag_indicador,dc_observacao_indicador,tx_fonte_indicador,in_consideracao_regiao
10,3.0,NÚMERO DE PASSAGEIROS TRANSPORTADOS PELO ATENDE,"[{""caractere"":""Ndpt143"",""tipo"":""variavel""}]",Mede o número de pessoas transportadas pelo serviço ATENDE,Valores altos representam o crescimento do serviço e ampliação do número de pessoas atendidas,Não há,True,3,2019-01-28 10:37:23.110676,t010001,1,,,,,,,,,True
11,11.0,TEste de exclusão,"[{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""}]",,,,True,3,2019-01-25 16:05:47.954963,t010001,2,,,,,,,,,True
12,15.0,Ciclovias implantadas em kilômetros,"[{""caractere"":""Cik89"",""tipo"":""variavel""}]",,,,False,3,2019-04-16 14:33:07.549253,t010001,2,,,,,,,,,True
13,14.0,ATENDIMENTOS DE PROTEÇÃO SOCIAL ESPECIAL REALIZADOS PELO CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL (CREAS),"[{""caractere"":""V0020"",""tipo"":""variavel""}]",,,,False,3,2019-04-15 18:28:54.195792,t010001,1,,,,,,,,,True
14,2.0,FROTA DE ÔNIBUS COM ACESSIBILIDADE PARA PESSOAS COM MOBILIDADE REDUZIDA (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""Fdôa785"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""FdÔC882"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",Proporção do total da frota municipal de ônibus com acessibilidade para pessoas com mobilidade reduzida,Percentual de ônibus acessíveis para pessoas com mobilidade reduzida dentre a frota de ônibus municipais. Uma frota de ônibus mais acessível a pessoas com mobilidade reduzida apresentará um percentual maior de acessibilidade.,Indicador do Programa de Metas 2013 - 2016,True,3,2019-01-28 12:07:00.692942,t010001,2,,,,,,,,,True
15,18.0,População total,"[{""caractere"":""V0001"",""tipo"":""variavel""}]",,,,False,3,2019-04-17 16:44:32.208442,t010001,2,,,,,,,,,True
16,17.0,Óbitos de motociclistas (por 100000 habitantes),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""v0002"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]",Conceito do Indicador,,Nota Técnica,False,3,2019-05-26 15:49:54.698532,t010001,2,,Nome Completo do Indicador 2,Periodicidade d,Unidade Territorialteszte,Série Histórica,,Observação,Texto Fonte da Variáve,True
17,21.0,Produto interno bruto per capita,"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0028"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""}]",,,,False,3,2019-05-07 11:31:55.420140,t010001,2,,,,,,,,,True
18,22.0,Taxa de universalização escolar - creches,"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0030"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0031"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",,,,False,3,2019-05-21 09:57:03.071073,t010001,2,,,,,,,,,True
19,187.0,Número de servidores municipais ativos,"[{""caractere"":""V0199"",""tipo"":""variavel""}]",Mostra o número de servidores ativos da administração direta do governo,,,False,1,2019-08-01 14:35:43.897324,184144,1,,Servidores ativos da administração direta do governo,anual,Município,início: 2008 - atualmente,,,Secretaria Municipal de Gestão (SMG),True
20,74.0,TESTE INCLUSÃO INDICATOR,"[{""caractere"":""V0026"",""tipo"":""variavel""}]",,,,False,3,2019-07-12 11:30:30.765353,64323,2,,,,,,,,,True
21,23.0,UM TESTE,"[{""caractere"":""v0002"",""tipo"":""variavel""}]",,,,False,3,2019-05-26 16:36:40.436753,t010001,2,,,,,,,,,True
22,20.0,Acervo de livros disponível em equipamentos públicos municipais de leitura por mil habitantes,"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""v0004"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""1000"",""tipo"":""constante""}]",Conceito do Indicador,,Nota Técnica,False,3,2019-05-26 16:12:43.245344,t010001,2,,Nome Completo do Indicador,Periodicid,Unidade Territorial,Série Histórica,,Observação,Texto Fonte da Variável,True
23,26.0,Alunos da rede municipal de ensino do sexo feminino (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0033"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0032"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",,,,False,3,2019-05-27 14:48:16.817076,t010001,2,,,,,,,,,True
24,16.0,Homicídio doloso (por 100 mil habitantes),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0003"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]",,,,False,3,2019-05-26 16:03:24.856355,t010001,1,,,,,,,,,True
25,191.0,Atendimentos de Proteção Social Especial realizados pelo Centro de Referência Especializado de Assistência Social,"[{""caractere"":""V0203"",""tipo"":""variavel""}]","Quanto mas elevado este indicador, maior o número de atendimentos realizados nas unidades de CRAS e Centro Pop.",,Publicado em DOC trimestralmente para fins de Gratificação por Desempenho de Atividade Social (GDA) e sistematizado pela Secretaria Municipal de Assistência e Desenvolvimento Social (SMADS) mensalmente.,False,1,2019-08-01 15:07:56.099352,184144,1,,Expressa o número de atendimentos de Proteção Social Básica realizados pelo CREAS e Centro Pop,Anual,Munícípio; Subprefeitura,Início: 2012 - atualmente,,,Secretaria Municipal de Assistência e Desenvolvimento Social (SMADS),True
26,25.0,INDICADOR TESTE COM 31,"[{""caractere"":""V0031"",""tipo"":""variavel""}]",,,,False,3,2019-05-27 14:31:02.743053,t010001,2,,,,,,,,,True
27,232.0,Unidades de habitação de interesse social (HIS) aprovadas,"[{""caractere"":""V0239"",""tipo"":""variavel""}]",Mede a quantidade de unidades de habitacionais que poderão ser disponibilizadas aos beneficiários de empreendimentos de habitação de interesse social (HIS),,,False,1,2019-08-12 16:07:10.740439,184147,1,,Quantidade de unidades habitacionais de categoria de uso para habitação de interesse social (HIS) previstas em projetos aprovados.,Anual,Município,Início: 2013 - 2015,,"""Reforma"", segundo a Lei n.º 11.228/1992, Código de Obras e Edificações, refere-se ""obra que implicar em uma ou mais das seguintes modificações, com ou sem alteração de uso: área edificada, estrutura, compartimentação vertical, volumetria"", o que no caso da produção de HIS ou HMP pode implicar mesmo na adição de área edificada (inclusive de blocos inteiros) ou adaptação de edificação existente para instalação de unidades habitacionais, sendo, portanto, contabilizado para fins de aferição de produção de HIS e HMP.",Secretaria Municipal de Licenciamento (SEL),True
28,34.0,teste,"[{""caractere"":""V0007"",""tipo"":""variavel""}]",,,,False,3,2019-06-21 15:39:02.908693,t010001,2,,,,,,,,,True
29,40.0,Indicador teste G,"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0007"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""8"",""tipo"":""constante""},{""caractere"":"")"",""tipo"":""agregador""}]",,,,False,3,2019-06-26 16:48:15.290901,t010001,2,,,,,,,,,True
30,197.0,Equipamentos públicos municipais de cultura (por 100 mil habitantes),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0210"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]",Um valor elevado deste índice indica maior possibilidade da população ter acesso à equipamentos públicos municipais de cultura.,,"São considerados equipamentos públicos municipais de cultura: Centros Culturais, Teatros, Museus e Casas Históricas, Escolas de Formação, Bibliotecas, Bosques de Leitura, Pontos de Leitura, Ônibus-Biblioteca, Casas de Cultura e CEUs.",False,1,2019-08-01 16:13:58.294992,184144,2,,"Expressa o número de equipamentos públicos municipais de cultura, para cada 100 mil habitantes.",Anual,"Município, Subprefeitura, Distrito",Início: 2003 - atualmente,,TAG: PPA 2018-2021,Fundação Sistema Estadual de Análise de Dados (SEADE); Secretaria Municipal de Cultura (SMC);  IBGE; Secretaria de Desenvolvimento Urbano (SMDU),True
31,189.0,Solicitações do 156 – Acessibilidade (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0202"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0201"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]","Quanto maior o percentual de solicitações relacionadas ao tema de “Acessibilidade” no SP156, maior a quantidade de demandas por essa assunto na cidade.",,,False,1,2020-05-26 10:48:52.245431,184147,2,,"Apresenta o percentual de solicitações de serviços relacionados ao tema “Acessibilidade” cadastradas pelos canais de atendimento SP156 (Central Telefônica SP156, Portal SP156, Aplicativo SP156), pelas praças de atendimento das subprefeituras e pelas unidades do Descomplica SP, com dados segregados por subprefeitura. ",Anual,Município; Subprefeitura,Início: 2015 - Atualmente,,,Secretaria Municipal da Pessoa com Deficiência (SMPED); Secretaria Municipal de Inovação e Tecnologia (SMIT),False
32,210.0,Fluxo de passageiros nos aeroportos,"[{""caractere"":""V0214"",""tipo"":""variavel""}]","Número absoluto de embarque e desembarque de pessoas nos principais aeroportos da cidade (Congonhas, Guarulhos e Viracopos). Quanto mais elevado for este indicador, mais passageiros desembarcaram nos principais aeroportos da cidade.",,"O indicador é calculado pela SPTuris, somando dados extraídos da Infraero, GRU Airport e Viracopos Aeroportos Brasil.",False,1,2019-08-02 12:13:14.652662,184144,1,,"Número de passageiros que embarcaram e desembarcaram nos aeroportos (Congonhas, Guarulhos e Viracopos).",Anual,Município,Início: 2005 - Atualmente,,,"Infraero, GRU Airport e Viracopos Aeroportos Brasil; São Paulo Turismo S/A (SPTuris)",True
33,297.0,Taxa de emprego formal,"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0295"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0013"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""}]",Expressa a quantidade de empregos formais em relação à PIA.,,"PIA - População em Idade Ativa: pessoas de 10 anos de idade ou mais. Optou-se pela PIA porque os projetos da SMDET também atendem a munícipes que não fazem parte da PEA. O total dos empregos formais no município, nas prefeituras regionais e distritos exclui Administração Pública. A soma dos empregos formais dos distritos difere do total de empregos formais do município porque no total do município são considerados os empregos ""não localizados"". Indicador do Programa de Metas 2013 - 2016",False,1,2019-08-12 15:12:49.193609,184147,2,,Quantidade total de empregos formais por habitantes em idade ativa (10 anos ou mais) na cidade de São Paulo.,Anual,Município; Distrito,Início: 2000 - atualmente,,"Foi considerada a PIA com a idade de 10 anos ou mais para seguir a metodologia da Pesquisa Emprego/Desemprego (Dieese/SEADE). Com mudanças recentes geradas na PED, talvez seja necessária refazer a série histórica da PIA a partir dos 14 anos.",Secretaria Municipal de Desenvolvimento Econômico e Trabalho (SMDET); Fundação Sistema Estadual de Análise de Dados (SEADE),True
34,275.0,Número de mulheres atendidas pelos Centros de Cidadania da Mulher,"[{""caractere"":""V0273"",""tipo"":""variavel""}]",Um valor elevado desse número indica a maior acessibilidade aos equipamentos e o fortalecimento das políticas para as mulheres na cidade.,,,False,1,2019-08-12 15:19:40.036238,184147,1,,Quantidade de mulheres participantes das atividades desenvolvidas pelos CCMs no ano ,Anual,Município; Subprefeitura,Início: 2012 - Término: 2016,,"É considerado o número de mulheres que participaram das atividades desenvolvidas pelos Seguintes CCMs: Itaquera, Capela do Socorro, Perus, Parelheiros, Santo Amaro e 25 de Março.",Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC),True
35,201.0,Coeficiente de Gini (rendimento domiciliar per capita),"[{""caractere"":""V0159"",""tipo"":""variavel""}]",,,,False,1,2019-10-03 14:43:57.677256,184147,2,,"Coeficiente de GIni (renda) no município de São Paulo, uma medida do grau de concentração da distribuição de renda, cujo valor varia de zero (perfeita igualdade) até um (a desigualdade máxima).",decenal,Município,2000 e 2010,,"O Coeficiente de Gini consiste em um número entre 0 e 1, onde 0 corresponde à completa igualdade (no caso do rendimento, por exemplo, toda a população recebe o mesmo salário) e 1 corresponde à completa desigualdade (onde uma pessoa recebe todo o rendimento e as demais nada recebem).",Secetaria Municipal de Desenvolvimento Urbano (SMDU),True
36,203.0,Investimento realizado pela Prefeitura - Valor Empenhado (em bilhões R$),"[{""caractere"":""V0162"",""tipo"":""variavel""}]","Valor anual de investimentos da administração direta da Prefeitura de São Paulo (em bilhões de R$). Quanto mais elevado for este indicador, maior o montante de recursos do orçamento da Prefeitura foram empenhados com investimentos.",,,False,1,2019-08-01 16:38:00.760673,184144,2,,"Montante anual gasto com investimentos pela administração direta da Prefeitura de São Paulo, em bilhões de reais. Considera-se para este indicador os valores empenhados do orçamento da Prefeitura (ver nota técnica). Os valores foram atualizados para valores reais de 2013.",anual,Município,Início: 2000 - Atualmente,,"1 - Este indicador considera o total de Investimentos e Inversões. Inclui as despesas com sentenças judiciais (precatórios) 2 - Despesa empenhada: representa o primeiro estágio da despesa orçamentária. É registrado no momento da contratação do serviço, aquisição do material ou bem, obra e amortização da dívida. Segundo o art. 58 da Lei nº 4.320/1964, empenho é o ato emanado de autoridade competente que cria para o Estado obrigação de pagamento pendente ou não de implemento de condição. Consiste na reserva de dotação orçamentária para um fim específico. (Fonte: Controladoria-Geral da União (CGU))",Secretaria Municipal da Fazenda (SF),True
37,204.0,Notas Fiscais Eletrônicas de Serviço emitidas,"[{""caractere"":""V0163"",""tipo"":""variavel""}]",Exprime a quantidade de notas fiscais eletrônicas emitidas. Quanto mais alto este indicador mais notas fiscais eletrônicas foram emitidas.,,,False,1,2019-08-01 16:41:41.928471,184144,2,,Quantidade de notas fiscais eletrônicas emitidas.,Anual,Município,Início: 2006 - 2015,,Não foram consideradas as notas fiscais canceladas.,Secretaria Municipal da Fazenda (SF),True
38,395.0,Número de atendimentos realizados pelos serviços de promoção da igualdade racial vinculados à SMDHC,"[{""caractere"":""V0413"",""tipo"":""variavel""}]",,,"O número de atendimentos realizados pelo serviço é composto pela quantidade registrada de participações em atividades coletivas tais como oficinas, formações e sensibilizações sobre Direitos, somado a quantidade registrada de atendimentos individuais especializados. Entende-se por atendimento individual especializado aquele fornecido por equipe multidisciplinar composta por profissionais com nível superior nas áreas do Direito, Psicologia, Pedagogia e/ou Assistência Social a um único individuo para orientação e/ou defesa em caso de violação de direitos.  ",False,1,2020-01-17 11:19:28.371830,184147,1,,"Quantidade de atendimentos realizados pelos serviços de promoção da igualdade racial vinculados à SMDHC, no ano",Anual,Município; Subprefeitura,Início: 2016 - atualmente,,,Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC),False
39,202.0,Investimento público per capita,"[{""caractere"":""V0160"",""tipo"":""variavel""}]","Quanto maior os valores, maior os investimentos per capita",,,False,1,2019-08-12 16:31:13.112159,184147,2,,Média do investimento realizado pela Prefeitura per capita,Anual,Município,Início: 2016 - Atualmente,,,Secretaria Municipal da Fazenda (SF); Fundação Sistema Estadual de Análise de Dados (SEADE),True
40,396.0,Número de projetos em execução fomentados pelo Fundo Municipal da Criança e do Adolescente (FUMCAD),"[{""caractere"":""V0414"",""tipo"":""variavel""}]","Compreende os projetos em execução no período. Pode compreender projetos aprovados em editais de diferentes anos cuja execução, total ou parcial, ocorre durante o período analisado. ",,,False,1,2020-01-17 11:27:57.757958,184147,1,,Quantidade total de projetos em execução no ano analisado e que são financiados por recursos do Fundo Municipal da Criança e do Adolescente (FUMCAD),Anual,Município,2018,,,Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC),False
41,409.0,Proporção interna ao Distrito de empregos formais no Comércio (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0300"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0303"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",Demonstra quais são as parcelas distribuídas pelos distritos que contribui em empregos formais para o total de empregos no setor do Comércio,,,False,3,2020-06-02 12:09:16.126105,184147,2,,"Percentual de empregos formais no setor do Comércio do Município, por Distrito",Anual,Município,Inicio: 2002 - atualmente,,,Relação Anual de Informações Sociais (RAIS),False
42,212.0,Fluxo de passageiros nos terminais rodoviários,"[{""caractere"":""V0215"",""tipo"":""variavel""}]","Número absoluto de desembarques de pessoas nos terminais rodoviários. Quanto mais elevado for este indicador, mais passageiros desembarcaram nos três terminais rodoviários do município",,,False,1,2019-08-02 12:21:44.392245,184144,1,,"Número desembarques de passageiros nos terminais rodoviários (Barra Funda, Jabaquara e Tietê).",Anual,Município,Início: 2005 - Atualmente,,,São Paulo Turismo S/A (SPTuris); Socicam,True
43,213.0,Número de Ônibus que chegaram nos terminais rodoviários,"[{""caractere"":""V0216"",""tipo"":""variavel""}]","Número de ônibus que chegaram nos terminais rodoviários do município de São Paulo. 
Este dado, juntamente com o desembarque de passageiros nos terminais, possibilita analisar a ocupação dos assentos nos ônibus de linha regular, ou seja, o melhor/pior aproveitamento que as empresas rodoviárias fizeram de sua oferta de passagens para a cidade de São Paulo.",,,False,1,2019-08-02 12:24:27.039143,184144,1,,"Acompanhamento do número de ônibus que chegaram nos terminais rodoviários da capital  (Barra Funda, Jabaquara e Tietê).",anual,Município,início: 2005 - atualmente,,,Socicam; São Paulo Turismo S/A (SPTuris),True
44,211.0,[ODS.08.01] PIB per capita a preços correntes (mil R$/habitante),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0169"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0217"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""}]",,,,False,1,2020-01-20 13:49:11.870537,184147,2,,"Valor representa a soma de todos os valores monetários de bens e serviços finais do município de São Paulo no ano de referência pela população residente. Este indicador foi calculado com preços correntes, sem levar em conta a inflação do período.",Anual,Município,Início: 2002 - atualmente,,"Cidades Sustentáveis
O PIB do município é obtido adicionando-se os impostos ao valor adicionado total.
Importante ressaltar que o valor do PIB deve ser multiplicado por 1 milhão",Instituto Brasileiro de Geografia e Estatística (IBGE)/Fundação SEADE; Elaboração: Secretaria de Desenvolvimento Urbano (SMDU),False
45,294.0,Rondas e atendimentos efetuados pelo programa Guardiã Maria da Penha,"[{""caractere"":""V0290"",""tipo"":""variavel""}]",Mede a quantidade de rondas e visitas feitas pelo programa guardiã Maria da Penha. ,,,False,1,2019-08-06 14:27:20.638094,184147,1,,Trata-se de atendimentos e rondas efetuadas pelo programa citado como medida protetiva,Anual,Município,Início: 2014 - atualmente,,"As rondas motorizadas diárias nos períodos de 7:00 às 19:00 horas. Esse programa visa proteger vítimas de violência, em geral, doméstica, que necessitem de um apoio maior da segurança pública, no caso a GCM.
",Secretaria Municipal de Segurança Urbana (SMSU),True
46,289.0,Número estimado de domicílios particulares permanentes,"[{""caractere"":""V0281"",""tipo"":""variavel""}]",Estima a quantidade de domicílios particulares permanentes existentes na cidade.,,"Os dados posteriores a 2010 correspondem a projeções realizadas pela Fundação Seade, tendo como ponto de partida a projeção da população residente nos municípios do Estado de São Paulo.",False,1,2019-08-12 15:16:27.139025,184147,1,,Estimativa dos domicílios particulares permanentes existentes em São Paulo de acordo com Censo Demográfico IBGE e projeções da Fundação  SEADE.,Anual,Município; Distrito,Início: 2000/2010 - atualmente,,"As séries históricas dos anos 2000 e 2010 foram extraídas dos Censos Demográficos IBGE, de 2010 em diante, a partir das estimativas da Fundação SEADE.",Fundação Estadual Sistema de Análise de Dados (SEADE); Instituto Brasileiro de Geografia e Estatística (IBGE),True
47,397.0,População com 60 anos ou mais,"[{""caractere"":""V0079"",""tipo"":""variavel""}]",,,,False,1,2020-03-30 14:21:18.861969,184147,1,,,,,,,,,True
48,64.0,INDICADOR TESTE TEMA MACH 3 ,"[{""caractere"":""V0013"",""tipo"":""variavel""}]",,,,False,3,2019-07-11 16:26:12.024967,64323,2,,,,,,,,,True
